iter,n,p,d,m,f0,f1,f3,q,r,b
0,1,0,0,0,1,1,1,1,1,1
1,2,1,1,1,4,2,7,2,10,0
2,3,2,2,4,24,8,63,6,143,1
3,4,2,20,60,192,48,693,12,1221,0
4,5,3,112,560,1920,384,9009,60,21249,1
5,6,3,1504,7520,23040,3840,135135,60,274815,0
6,7,4,14208,113664,322560,46080,2297295,420,5639631,1
7,8,4,244992,2204928,5160960,645120,43648605,840,90945117,0
8,9,4,3274752,36022272,92897280,10321920,916620705,2520,1826620833,1
9,10,4,69267456,761942016,1857945600,185794560,21082276215,2520,38618333559,0
10,11,5,1199554560,16793763840,40874803200,3715891200,527056905375,27720,1129082889375,1
11,12,5,30106091520,421485281280,980995276800,81749606400,14230536445125,27720,28218286333125,0
12,13,6,640796590080,11534338621440,25505877196800,1961990553600,412685556908625,360360,915660945621585,1
13,14,6,18622701895680,335208634122240,714164561510400,51011754393600,12793252264167375,360360,26435665650141135,0
14,15,6,470423898685440,8467630176337920,21424936845312000,1428329123020800,422177324717523375,360360,888640364800590255,1
15,16,6,15541046083584000,295279875588096000,685597979049984000,42849873690624000,14776206365113318125,720720,28827658089741286125,0
16,17,7,454463600984064000,10452662822633472000,23310331287699456000,1371195958099968000,546719635509192770625,12252240,1176745390297425986625,1
17,18,7,16822958391558144000,386928043005837312000,839171926357180416000,46620662575398912000,21322065784858518054375,12252240,43482016069074330150375,0
18,19,8,559005839520694272000,15093157667058745344000,31888533201572855808000,1678343852714360832000,874204697179199240229375,232792560,1949108731388102309925375,1
19,20,8,22920565754500743168000,618855275371520065536000,1275541328062914232320000,63777066403145711616000,37590801978705567329863125,232792560,79618709350954794004039125,0
20,21,8,853045563776884015104000,23032230221975868407808000,53572735778642397757440000,2551082656125828464640000,1691586089041750529843840625,232792560,3646178444668408408220288625,1
21,22,8,38378996334754957099008000,1036232901038383841673216000,2357200374260265501327360000,107145471557284795514880000,79504546184962274902660509375,232792560,164046464471162701120525725375,0
22,23,9,1581530367171933316841472000,50608971749501866138927104000,108431217215972213061058560000,4714400748520531002654720000,3895722763063151470230364959375,5354228880,8579324645847249570923012895375,1
23,24,9,77464797638429463577362432000,2478873524429742834475597824000,5204698426366666226930810880000,216862434431944426122117120000,198681860916220724981748612928125,5354228880,419473677973111519770620870464125,0
24,25,9,3501447852212669825591279616000,119049226975230774070103506944000,260234921318333311346540544000000,10409396852733332453861621760000,10530138628559698424032676485190625,26771144400,21966179870351003943424076486726625,1
25,26,9,185481789463366823733425602560000,6306380841754472006936470487040000,13532215908553332190020108288000000,520469842636666622693081088000000,579157624570783413321797206685484375,26771144400,1164450264981491088151571868563244375,0
26,27,9,9124583209458408211445050245120000,328484995540502695612021808824320000,730739659061879938261085847552000000,27064431817106664380040216576000000,33011984600534654559342440781072609375,80313433200,65594612345766211213916627918014689375,1
27,28,9,519791925127860707798072929812480000,18712509304602985480730625473249280000,40921420907465276542620807462912000000,1461479318123759876522171695104000000,1947707091431544619001204006083283953125,80313433200,3746628931263390195014308747245964273125,0
28,29,10,27646868489036439760169912374394880000,1133521608050494030166966407350190080000,2373442412632986039472006832848896000000,81842841814930553085241614925824000000,118810132577324221759073444371080321140625,2329089562800,242802213035573422689577486920950913140625,1
29,30,10,1685361214179044059175096532640727040000,69099809781340806426178957838269808640000,142406544757979162368320409970933760000000,4746884825265972078944013665697792000000,7485038352371425970821626995378060231859375,2329089562800,14815711850035261565035772208644455367859375,0
30,31,11,96374788025476671471561778292745830400000,4433240249171926887691841801466308198400000,8829205774994708066835865418197893120000000,284813089515958324736640819941867520000000,486527492904142688103405754699573915070859375,72201776446800,1018439321528699210779832612324095690584459375,1
31,32,11,6260049947095511955973471074092109004800000,294222347513489061930753140482329123225600000,565069169599661316277495386764665159680000000,17658411549989416133671730836395786240000000,32597342024577560102928185564871452309747578125,144403552893600,65369807497004402878883997365034112720729978125,0
32,33,11,382984785064123349048630417905499190067200000,18000284898013797405285629641558461933158400000,37294565193577646874314695526467900538880000000,1130138339199322632554990773529330319360000000,2249216599695851647102044803976130209372582890625,144403552893600,4583824515459077432854561776050172280664896490625,1
33,34,11,26407134153431463669764598355292276863795200000,1241135305211278792478936122698737012598374400000,2536030433163279987453399295799817236643840000000,74589130387155293748629391052935801077760000000,159694378578405466944245181082305244865453385234375,144403552893600,316376689060597611536155225027535951974954722834375,0
34,35,11,1721095992046184235795363297106939025660313600000,80891511626170659082382074964026134206034739200000,177522130321429599121737950705987206565068800000000,5072060866326559974906798591599634473287680000000,11657689636223599086929898219008282875178097122109375,144403552893600,23349994498349930831691959183785572630621218478909375,1
35,36,11,125548780309559456480582229389085366269509632000000,5900792674549294454587364781287012214666952704000000,12781593383142931136765132450831078872684953600000000,355044260642859198243475901411974413130137600000000,874326722716769931519742366425621215638357284158203125,144403552893600,1706903608456599970063252254440453281258535392574203125,0
36,37,12,8684467921645421668358444614602171958274555904000000,451592331925561926754639119959312941830276907008000000,945837910352576904120619801361499836578686566400000000,25563186766285862273530264901662157745369907200000000,67323157649191284727020162214772833604153510880181640625,5342931457063200,138494520942681441467721380336687746447924501832629640625,1
37,38,12,668213812968047065732055166382222882657687044096000000,34747118274338447418066868651875589898199726292992000000,71883681186795844713167104903473987579980179046400000000,1891675820705153808241239602722999673157373132800000000,5318529454286111493434592814967053854728127359534349609375,5342931457063200,10666194513679976703929026835197223120904512556025101609375,0
38,39,12,48892573964866423187394953042325939408826842218496000000,2542413846173054005744537558200948849258995795361792000000,5606927132570075887627034182470971031238453965619200000000,143767362373591689426334209806947975159960358092800000000,430800885797175030968202018012331362232978316122282318359375,5342931457063200,872090799038346181959281531907214556438020292639349070359375,1
39,40,12,3957388131633172698043140547108371249048454051135488000000,205784182844924980298243308449635304950519610659045376000000,448554170605606071010162734597677682499076317249536000000000,11213854265140151775254068364941942062476907931238400000000,35756473521165527570360767495023503065337200238149432423828125,5342931457063200,70715351758703604632877164860341605432329365987180082279828125,0
40,41,13,305377196265513664068197175403727757861399416159600640000000,17406500187134278851887238998012482198099766721097236480000000,36781441989659697822833344237009569964924258014461952000000000,897108341211212142020325469195355364998152634499072000000000,3039300249299069843480665237076997760553662020242701756025390625,219060189739591200,6313665413925865649570557022467505593147001048821338678905390625,1
41,42,13,25938038434983332595612493852301031509632904759586324480000000,1478468190794049957949912149581158796049075571296420495360000000,3089641127131414617118000915908803877053637673214803968000000000,73562883979319395645666688474019139929848516028923904000000000,264419121689019076382817875625698805168168595761115052774208984375,219060189739591200,536707347930033703782224877135070823857939590985321859650368984375,0
